"Symbol";"Value";"Unit";
"REFERENCE";"PJ-320E";"";
"TraceParts.PartVersion";"1.0.6";"";
"SUPPLIER";"Guangdong XKB Technology Co., Ltd.";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartNumber";"90-27092020-032974";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Earphone Socket PJ-320E";"";
"TraceParts.InstanceId";"90-27092020-0329742N3XX9WWY2MK673V115V3T3RA";"";
"TraceParts.PartTitle";"Earphone Socket PJ-320E";"";
"TraceParts.PartStatusId";"";"";
"a";"Horizontal";"";
"b";"3.5Earphone Socket";"";
"c";"Through hole";"";
"d";"B：3section";"";
"TRACEPARTS";"TRACEPARTS";"";
"f";"5";"";
"g";"W14.0xD7.0xH5.0";"";
"TraceParts.ClassPath";"";"";
