edge_index,raw_timer_ticks,monotonic_timestamp_us
0,910608,0
1,1599160,688552
2,2186752,1276144
3,3527496,2616888
4,5089848,4179240
5,7397892,6487284
6,9127060,8216452
7,15445336,14534728
8,23159040,22248432
9,25541376,24630768
10,42778428,41867820
11,45260232,44349624
12,47273992,46363384
13,49716504,48805896
14,50978888,50068280
15,54570744,53660136
16,60777976,59867368
17,60970744,60060136
18,62317052,61406444
19,62418444,61507836
20,65350828,64440220
21,65425528,64514920
22,70987004,70076396
23,76291212,75380604
24,76796152,75885544
25,85268732,84358124
26,85901416,84990808
27,88164812,87254204
28,94730732,93820124
29,96553900,95643292
30,110556268,109645660
31,110672764,109762156
32,114539512,113628904
33,115258896,114348288
34,116608000,115697392
35,117782880,116872272
36,120124028,119213420
37,120176180,119265572
38,127605700,126695092
39,134255408,133344800
40,134849552,133938944
41,137166496,136255888
42,150170068,149259460
43,151494904,150584296
44,156725064,155814456
45,158827308,157916700
46,165710188,164799580
47,167726740,166816132
48,171623916,170713308
49,173559932,172649324
50,175829552,174918944
51,176459160,175548552
52,182957828,182047220
53,191869216,190958608
54,192019424,191108816
55,193090140,192179532
56,201482756,200572148
57,201507448,200596840
58,202226376,201315768
59,205240844,204330236
60,214753104,213842496
61,217256684,216346076
62,222849332,221938724
63,224480368,223569760
64,231730476,230819868
65,232501528,231590920
66,234863412,233952804
67,245735104,244824496
68,250001704,249091096
69,252123108,251212500
70,265730316,264819708
71,268179948,267269340
72,273633380,272722772
73,276678092,275767484
74,276840324,275929716
75,278107172,277196564
76,292829772,291919164
77,294687156,293776548
78,296304620,295394012
79,297445108,296534500
80,300897864,299987256
81,301375956,300465348
82,312640208,311729600
83,313674456,312763848
84,314748944,313838336
85,316742296,315831688
86,320686552,319775944
87,321903580,320992972
88,329079048,328168440
89,329093452,328182844
90,332341720,331431112
91,333619008,332708400
92,335407380,334496772
93,340353064,339442456
94,344510412,343599804
95,347085584,346174976
96,347199320,346288712
97,352797592,351886984
98,358168708,357258100
99,360059080,359148472
100,361339408,360428800
101,364506512,363595904
102,365413928,364503320
103,369122760,368212152
104,370787432,369876824
105,374358532,373447924
106,376997540,376086932
107,381611520,380700912
108,385936872,385026264
109,387363472,386452864
110,393404564,392493956
111,397913968,397003360
112,398508856,397598248
113,399173488,398262880
114,401061544,400150936
115,404421080,403510472
116,414526620,413616012
117,417969452,417058844
118,418770148,417859540
119,426572132,425661524
120,429471356,428560748
121,432199092,431288484
122,434581040,433670432
123,435760600,434849992
124,442120112,441209504
125,448128716,447218108
